,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valance,emotion
31,0.9,0.0876,127.997,0.0932,0.00379,1.48e-05,0.287,-5.852,0.132,fearful
32,0.768,0.0612,147.99,0.0449,0.739,2.05e-05,0.619,-5.75,0.845,happy
33,0.729,0.107,94.962,0.114,0.872,3.83e-06,0.736,-7.423,0.767,fearful
34,0.682,0.0589,167.06,0.0294,0.00552,2.94e-05,0.496,-4.095,0.474,fearful
35,0.826,0.117,77.093,0.0319,0.00756,0.0,0.448,-3.244,0.19,fearful
36,0.845,0.267,96.005,0.0461,0.181,0.0,0.664,-6.115,0.357,fearful
37,0.82,0.689,129.965,0.0474,0.179,0.0,0.768,-4.63,0.625,fearful
38,0.579,0.0304,99.979,0.0388,0.00715,0.000679,0.76,-5.079,0.975,fearful
39,0.818,0.0357,139.898,0.0398,0.00478,0.000368,0.543,-3.611,0.683,fearful
40,0.865,0.289,137.107,0.0516,3.62e-05,0.000532,0.234,-5.131,0.194,fearful
41,0.654,0.172,115.0,0.0317,0.0205,0.00395,0.453,-8.855,0.702,angry
42,0.43,0.129,91.844,0.0372,0.0097,0.000133,0.515,-9.935,0.104,angry
43,0.359,0.108,177.334,0.0328,0.697,1.85e-05,0.292,-9.043,0.228,sad
44,0.0222,0.0717,91.249,0.0323,0.975,0.000345,0.329,-25.0,0.072,happy
45,0.609,0.193,124.971,0.0337,0.0243,3e-06,0.434,-3.573,0.269,sad
46,0.398,0.172,88.897,0.0296,0.755,0.000537,0.42,-9.13,0.364,angry
47,0.326,0.191,79.206,0.0386,0.864,0.0,0.399,-9.239,0.546,happy
48,0.725,0.246,116.669,0.05,0.0131,0.00805,0.777,-8.681,0.529,fearful
49,0.363,0.055,164.555,0.0296,0.2,0.0,0.476,-10.706,0.243,happy
50,0.435,0.219,125.892,0.0307,0.399,0.0,0.363,-8.141,0.148,angry
51,0.866,0.373,128.041,0.056,0.223,0.0,0.665,-3.81,0.455,happy
52,0.86,0.304,88.032,0.0272,0.443,0.0,0.658,-2.898,0.644,happy
53,0.914,0.0858,126.001,0.0437,0.166,0.0,0.687,-5.02,0.675,happy
54,0.849,0.93,124.986,0.0568,0.159,0.0,0.781,-5.644,0.665,fearful
55,0.706,0.056,124.985,0.0853,0.0595,0.0,0.608,-7.275,0.357,fearful
56,0.863,0.0764,115.008,0.0283,0.0273,0.0,0.825,-4.743,0.844,fearful
57,0.855,0.506,129.909,0.0445,0.00999,0.0,0.669,-4.46,0.25,fearful
58,0.0439,0.093,140.061,0.0569,0.987,0.922,0.633,-18.655,0.203,calm
59,0.857,0.513,167.852,0.232,0.483,0.0,0.598,-2.816,0.722,fearful
60,0.662,0.0967,119.999,0.159,0.281,0.0,0.61,-10.563,0.418,fearful
61,0.661,0.11,95.003,0.0356,0.0354,0.0,0.777,-10.293,0.169,fearful
62,0.916,0.14,175.835,0.13,0.625,0.0,0.673,-8.635,0.882,fearful
63,0.833,0.122,99.995,0.0931,0.755,0.000122,0.795,-8.344,0.528,angry
