id,song,artist,album,popularity,duration,emotion,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
1UmFRZU3taMGZApPhK32mc,Riverside,Agnes Obel,Philharmonics,0,228546,sad,0.648,0.177,9,-13.474,0,0.0311,0.985,0.000353,0.134,0.236,99.101
0G41EUi3xiwUR6iOtXAQCz,Petrified,Omar Apollo,Ivory,63,197453,sad,0.343,0.331,2,-9.528,1,0.035,0.313,1.7e-05,0.512,0.343,203.852
6x6XKEUcCJGUACD4Xh7KuP,Anchor,Novo Amor,Anchor,0,256282,sad,0.486,0.356,9,-13.649,1,0.0318,0.755,0.861,0.0986,0.111,117.141
5pGV2AfDflnhL72pK1oIaR,Gone Away,Austin Harms,Gone Away,25,169721,sad,0.47,0.46,4,-11.598,1,0.0613,0.319,1.45e-05,0.115,0.322,116.821
54KFQB6N4pn926IUUYZGzK,To Build A Home,The Cinematic Orchestra,Ma Fleur,76,371320,sad,0.264,0.122,9,-15.399,1,0.0349,0.885,0.349,0.094,0.0735,148.658
5hXTMmVXz1Ablgu34BkTz1,Angel's Song,Arlo Parks,Angel's Song,48,197243,sad,0.693,0.195,11,-15.278,0,0.0446,0.894,0.0325,0.126,0.315,116.725
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,Calum Scott,Dancing On My Own,1,260004,sad,0.608,0.174,1,-8.796,1,0.0332,0.851,1.92e-05,0.0855,0.193,112.175
1EwyAL8SdJpIX0M9b1ArAp,Somewhere Only We Know,Valentin,Somewhere Only We Know,0,193750,sad,0.472,0.305,8,-11.465,1,0.0295,0.84,0,0.142,0.584,165.9
1wHSxWBfPr3GO31y8KGrWe,Wish You Were Here - 2011 Remastered Version,Pink Floyd,Wish You Were Here [2011 - Remaster] (2011 Remastered Version),0,334743,sad,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.883
6vG1pcmNGdG6Vu62I9nLGL,K.,Rosie Carney,K.,49,269000,sad,0.348,0.226,3,-10.918,1,0.0386,0.962,0.00483,0.135,0.173,129.251
5a6pdCHlWS2ekOOQ70QnAr,July,Noah Cyrus,July,1,156106,sad,0.708,0.186,9,-8.953,0,0.0422,0.868,0,0.0779,0.321,72.541
06qUEhhx6jKQmhj2qAkn4H,Trying My Best,Anson Seabra,Trying My Best,0,222467,sad,0.561,0.0587,5,-17.819,1,0.0762,0.95,0,0.0828,0.342,143.027
7ggHQsGP7K3V65lqBwleWO,I'm with You,LEFT.,I'm with You,46,184363,sad,0.587,0.468,7,-10.316,0,0.0386,0.544,0.000154,0.1,0.176,82.426
7sTtHHrD0zDpmzQzH3zegz,Consequences,Camila Cabello,Camila,69,178466,sad,0.455,0.292,0,-6.792,1,0.0563,0.889,0,0.106,0.43,84.339
